parent_asin,title,semantic_score,als_score,final_score
B09LGYDQQ8,"Wireless Kids Headphones with Microphones, Wireless 5.0 Over Ear Headphones, 60H Playtime,Stereo Sound, Teen Headphones Foldable Headset for Kids, Teens, Adults, Work, School, Study, Travel, Office",0.6515147860273848,2.9104962,0.8783569702314104
B07TFDKKHV,"Comfortable Portable Wireless Headphones Hi-fi Stereo Multifunction for TV Over Ear Headset with FM Radio 2.4GHz Transmitter,RCA and 3.5mm Stereo Adapter",0.6364622969513296,2.128768,0.6301504225132573
B0C1GFBD1T,"Kids Wireless Headphones, Cat Ear LED Light Up Bluetooth Foldable Headphones Over Ear with MIC, Headphones Wireless Bluetooth for Kids, Stereo Sound,FM Radio/TF Card,Childrens Headset for Boys Girls",0.6290908876208141,3.5023065,0.6237104284362582
B092ZP8Q4Z,"Wireless Headphones for TV Watching, Folding Over Ear Headphones with 2.4GHz RF Transmitter Support Optical RCA AUX, No Audio Delay, 100ft Wireless Range (Blackness)",0.6310489104199639,2.7072642,0.5972263355203191
B004ZIALYS,Brookstone Wireless TV Headphones,0.6273085899404435,2.7498693,0.5510737937584422
B0BFVNR6LV,"SHON Kids Wireless Fold On-Ear Headphones - Blue Foldable Stereo with 3.5mm Jack Wired Kids Headphones,for Kids/Teen/Boy/Girl/Smartphone/School/Kindle/Airplane Travel/Airplane/Tablet (Blue)",0.6237832490346105,3.221956,0.5358821971805796
B083QPDDXN,"eKids Ryans World Kids Bluetooth Headphones, Wireless Headphones with Microphone Includes Aux Cord, Volume Reduced Kids Foldable Headphones for School, Home, or Travel",0.6244094433863787,2.5367148,0.4991663998716399
B09QPG1ZST,100SEASHELL Wired Earbuds No Microphone Headphones with Long Cord Noise Cancelling in Ear Corded Headphones 3.5mm Bass Earbuds for Computer for Laptop for Tv for Pc for Android,0.6182437627322492,3.2716694,0.46665211414807845
B086GNDL8K,"6S Wireless Headphones Over Ear,Noise Canceling Hi-Fi Bass Foldable Stereo Wireless Kid Headsets Earbuds with Built-in Mic, Micro SD/TF, FM for iPhone/Samsung/iPad/PC (Black & Gold)",0.6168991960568806,3.3672922,0.4553244909443702
B0BVRNP6DN,"EAORUL 100H Playtime Wireless Headphones Over Ear, Bluetooth 5.1 Headphones Over Ear with Built-in Microphone",0.6211423384292527,2.425135,0.4491010995318406
B09QGCR7G4,"Wireless Headphones for TV Watching with Wireless Transmitter & Charging Dock, Digital Wireless Headset for TV (Optical AUX RCA), High Volume Over Ear Headset for Seniors, 25H Playtime, Plug n Play",0.609010805354988,4.766537,0.44380419563667595
B08BGD3WYK,"Sennheiser 508678 - RS135-9 Stereo Wireless Audio Headphones, Black",0.6176326654546931,2.897749,0.4341490934133297
B0827WL58T,"Classroom Headphones for Students (5 Pack) - On-Ear Premium Bulk Headphones: Perfect for Kids All Ages K-12 in Schools (Great Value, Class Set, Durable, Noise Reducing, Comfortable Fit, Easy-to-Clean)",0.6212060225724153,2.039158,0.42463792836393377
B01M18X04S,Wireless Ear Headphones Wired Over Ear Headphones Noise Canceling Foldable Headphones for Smartphone,0.6128492046775001,3.1650114,0.3890701046711521
B07ZN4JZYH,"Kids Bluetooth Headphones Over Ear with Microphone for School, Wireless Headphones Bluetooth for Boys Girls Cat Ear Limited Volume 93dB, for iPad, Cellphone, Tablet, PC (Pink)",0.6176899458124507,2.0163748,0.3771342886802873
B0BV87K4MD,"Bulktech 08 Foldable On-Ear Headphones for Kids, Teens, and Children with Adjustable Headband, 3.5mm Jack Compatibility with Cellphones, Computers, MP3/4 Players, Kindle - 1 Pack White",0.6123483594417656,2.953456,0.3686510466184904
B09Q2Z2HDC,"Wireless Headphones for TV Watching with Wireless Transmitter & Charging Dock, Digital Wireless Headset for TV (Optical AUX RCA), High Volume Over Ear Headset for Seniors, 25H Playtime, Plug n Play",0.609010805354988,3.4961834,0.3605465045765989
B074XNNTD6,"Besom On-Ear Headphones with Microphone Lightweight Folding Stereo Headset Tangle Free Cord, Wired Headphones for Cellphones Smartphone Tablet Laptop Computer MP3/4 (Red)",0.6131982161376957,2.517542,0.35120268443216685
B086GMR2MZ,"6S Wireless Headphones Over Ear,Noise Canceling Hi-Fi Bass Foldable Stereo Wireless Kid Headsets Earbuds with Built-in Mic, Micro SD/TF, FM for iPhone/Samsung/iPad/PC (Black & Red)",0.6172317213665658,1.5705366,0.34191830383401817
B09Y85Y84V,"gorsun E95A Kids Headphones Wireless with Mic, Bluetooth 5.1, LED Lights Kids Bluetooth Headphones, 85dB Volume Limited Toddler Headphones, Stereo Headsets for School Tablet PC, Red",0.610037743505038,2.9155746,0.3359322334314503
